router_ip,ups_ip
10.128.17.23,10.131.17.62
10.128.17.33,10.131.17.102
10.128.17.76,10.131.18.18
10.128.17.75,10.131.18.14
10.128.17.38,10.131.17.122
10.128.17.24,10.131.17.66
10.128.17.45,10.131.17.146
10.128.17.44,10.131.17.146
10.128.17.72,10.131.18.2
10.128.17.25,10.131.17.70
10.128.17.39,10.131.17.126
10.128.17.43,10.131.17.142
10.128.17.70,10.131.17.250
10.128.17.42,10.131.17.138
10.128.17.5,10.131.16.246
10.128.17.45,10.131.17.150
10.128.17.44,10.131.17.150
10.128.17.69,10.131.17.246
10.128.17.48,10.131.17.162
10.128.17.52,10.131.17.178
10.128.17.63,10.131.17.222
10.128.17.40,10.131.17.130
10.128.17.58,10.131.17.202
10.128.17.54,10.131.17.186
10.128.17.60,10.131.17.210
10.128.17.59,10.131.17.206
10.128.17.4,10.131.16.242
10.128.17.1,10.131.16.230
10.128.17.37,10.131.17.118
10.128.17.3,10.131.16.238
10.128.17.26,10.131.17.74
10.128.17.22,10.131.17.58
10.128.17.2,10.131.16.234
10.128.17.17,10.131.17.38
10.128.17.12,10.131.17.18
10.128.8.48,10.131.10.22
10.128.8.104,10.131.102.130
10.128.8.47,10.131.10.18
10.128.8.103,10.131.102.126
10.128.8.43,10.131.10.2
10.128.8.89,10.131.102.70
10.128.8.41,10.131.9.250
10.128.0.8,10.131.0.30
10.128.8.102,10.131.102.122
10.128.8.97,10.131.102.102
10.128.8.39,10.131.9.242
10.128.8.60,10.131.10.70
10.128.8.87,10.131.102.62
10.128.8.101,10.131.102.118
10.128.8.95,10.131.102.94
10.128.8.35,10.131.9.226
10.128.8.10,10.131.9.126
10.128.8.93,10.131.102.86
10.128.8.33,10.131.9.218
10.128.8.31,10.131.9.210
10.128.8.82,10.131.97.26
10.128.8.99,10.131.102.110
10.128.8.57,10.131.10.58
10.128.8.92,10.131.102.82
10.128.8.29,10.131.9.202
10.128.8.98,10.131.102.106
10.128.8.91,10.131.102.78
10.128.8.28,10.131.9.198
10.128.8.81,10.131.97.22
10.128.8.84,10.131.102.50
10.128.8.27,10.131.9.194
10.128.8.9,10.131.9.122
10.128.8.56,10.131.10.54
10.128.8.26,10.131.9.190
10.128.8.83,10.131.97.34
10.128.8.8,10.131.9.118
10.128.8.22,10.131.9.174
10.128.8.80,10.131.97.14
10.128.8.88,10.131.102.66
10.128.8.19,10.131.9.162
10.128.8.76,10.131.97.2
10.128.8.16,10.131.9.150
10.128.8.86,10.131.102.58
10.128.8.53,10.131.10.42
10.128.8.79,10.131.97.10
10.128.8.12,10.131.9.134
10.128.8.85,10.131.102.54
10.128.8.74,10.131.10.126
10.128.8.100,10.131.102.114
10.128.8.54,10.131.10.46
10.128.8.50,10.131.10.30
10.128.8.72,10.131.10.118
10.128.8.5,10.131.9.106
10.128.8.52,10.131.10.38
10.128.8.71,10.131.10.114
10.128.8.77,10.131.97.30
10.128.8.46,10.131.10.14
10.128.8.49,10.131.10.26
10.128.8.75,10.131.97.18
10.128.8.70,10.131.10.110
10.128.8.45,10.131.10.10
10.128.8.42,10.131.9.254
10.128.8.7,10.131.9.114
10.128.8.68,10.131.10.102
10.128.8.69,10.131.10.106
10.128.8.40,10.131.9.246
10.128.8.66,10.131.10.94
10.128.8.67,10.131.10.98
10.128.8.44,10.131.10.6
10.128.8.64,10.131.10.86
10.128.8.4,10.131.9.102
10.128.8.65,10.131.10.90
10.128.8.1,10.131.9.90
10.128.8.3,10.131.9.98
10.128.8.21,10.131.9.170
10.128.8.78,10.131.97.6
10.128.8.63,10.131.10.82
10.128.8.62,10.131.10.78
10.128.8.6,10.131.9.110
10.128.8.61,10.131.10.74
10.128.8.38,10.131.9.238
10.128.8.58,10.131.10.62
