ip,devicetype
10.128.10.4,GP_ROUTER
10.131.11.238,GP_UPS
10.128.0.84,BLOCK_ROUTER
10.131.1.78,BLOCK_UPS
10.128.93.52,GP_ROUTER
10.131.92.134,GP_UPS
10.128.93.32,GP_ROUTER
10.131.92.54,GP_UPS
10.128.93.10,GP_ROUTER
10.131.91.222,GP_UPS
10.128.10.26,GP_ROUTER
10.131.12.78,GP_UPS
10.128.10.8,GP_ROUTER
10.131.11.254,GP_UPS
10.128.93.26,GP_ROUTER
10.131.92.30,GP_UPS
10.128.10.1,GP_ROUTER
10.131.11.226,GP_UPS
10.128.10.30,GP_ROUTER
10.131.12.94,GP_UPS
10.128.10.20,GP_ROUTER
10.131.12.54,GP_UPS
10.128.10.15,GP_ROUTER
10.131.12.34,GP_UPS
10.128.0.48,BLOCK_ROUTER
10.128.10.60,GP_ROUTER
10.131.12.214,GP_UPS
10.131.0.190,BLOCK_UPS
10.128.52.12,GP_ROUTER
10.131.52.38,GP_UPS
10.128.10.33,GP_ROUTER
10.131.12.106,GP_UPS
10.128.52.29,GP_ROUTER
10.131.52.106,GP_UPS
10.128.93.33,GP_ROUTER
10.131.92.58,GP_UPS
10.128.52.28,GP_ROUTER
10.131.52.102,GP_UPS
10.128.10.58,GP_ROUTER
10.131.12.206,GP_UPS
10.128.10.64,GP_ROUTER
10.131.12.230,GP_UPS
10.128.52.32,GP_ROUTER
10.131.52.118,GP_UPS
10.128.93.1,GP_ROUTER
10.131.91.186,GP_UPS
10.128.10.55,GP_ROUTER
10.131.12.194,GP_UPS
10.128.52.11,GP_ROUTER
10.131.52.34,GP_UPS
10.128.10.25,GP_ROUTER
10.131.12.74,GP_UPS
10.128.10.39,GP_ROUTER
10.128.93.54,GP_ROUTER
10.131.12.130,GP_UPS
10.131.92.142,GP_UPS
10.128.93.12,GP_ROUTER
10.128.10.10,GP_ROUTER
10.131.12.10,GP_UPS
10.128.10.49,GP_ROUTER
10.131.91.230,GP_UPS
10.131.12.170,GP_UPS
10.128.10.44,GP_ROUTER
10.131.12.150,GP_UPS
10.128.93.49,GP_ROUTER
10.131.92.122,GP_UPS
10.128.52.39,GP_ROUTER
10.131.52.146,GP_UPS
